Id,Year
A+ (programming language),1988
ABC (programming language),Could not determine :(
ABSYS,1967
ALGOL 58,1958
ALGOL 60,1960
ALGOL 68,Could not determine :(
ALGOL W,1966
AMPL,1985
APL (programming language),1964
AS/400 Control Language,Could not determine :(
AWK,1977
A Sharp (Axiom),1971
ActionScript,1998
Ada (programming language),Could not determine :(
Agda (theorem prover),2007
Alef (programming language),1992
AmbientTalk,2006
BASIC,Could not determine :(
BCPL,1967
B (programming language),1969
Boo (programming language),2003
Boomerang (programming language),2008
C++,1985
CLU (programming language),1975
COBOL,1959
COMIT,1957
COMTRAN,Could not determine :(
COWSEL,Could not determine :(
CPL (programming language),1963
C (programming language),1972
C Sharp (programming language),2000
Caml,1985
Cilk,1994
Clean (programming language),1987
Clojure,2007
CoffeeScript,Could not determine :(
ColdFusion Markup Language,1995
Combined Programming Language,1963
Common Lisp,Could not determine :(
Cool (programming language),1996
Cyclone (programming language),Could not determine :(
DBase,1979
DIGITAL Command Language,Could not determine :(
DRAKON,1996
D (programming language),Could not determine :(
Delphi (programming language),1986
Dylan (programming language),1992
ELAN (programming language),1974
E (programming language),1997
Eiffel (programming language),1986
Elixir (programming language),2011
Elm (programming language),2012
Emerald (programming language),1980
Epigram (programming language),2004
Erlang (programming language),1986
Es (Unix shell),1989
Etoys (programming language),1996
Euclid (programming language),1970
Euphoria (programming language),1993
FFP (programming language),1977
FLOW-MATIC,Could not determine :(
FL (programming language),1989
FP (programming language),1977
F Sharp (programming language),2005
Factor (programming language),2003
Forth (programming language),1970
Fortran,1957
Go (programming language),Could not determine :(
Gosu (programming language),Could not determine :(
Groovy (programming language),2003
Harbour (software),1999
Haskell (programming language),1990
HyperTalk,Could not determine :(
IBM RPG,1959
ISWIM,1966
Icon (programming language),1977
Information Processing Language,1956
Io (programming language),2002
JOSS,1966
JOVIAL,1960
J (programming language),1990
JavaScript,Could not determine :(
Java (programming language),Could not determine :(
Joule (programming language),1996
Joy (programming language),2001
KRL (programming language),1976
K (programming language),1993
Karel++,1981
Karel (programming language),1981
Kent Recursive Calculator,1981
LPC (programming language),Could not determine :(
Limbo (programming language),1995
Lisp (programming language),1958
Logo (programming language),1967
Lua (programming language),1993
Lucid (programming language),1976
MATH-MATIC,Could not determine :(
ML (programming language),1973
MUMPS,1966
Make (software),Could not determine :(
Mesa (programming language),1976
Miranda (programming language),Could not determine :(
Modula,Could not determine :(
Modula-2,1978
Modula-3,1980
NewtonScript,1993
OCaml,1996
Oberon (programming language),1986
Object Pascal,1986
Object REXX,1988
Objective-C,1984
Occam (programming language),1983
Orwell (programming language),1984
Oz (programming language),1991
PHP,1995
PL/I,1964
Pascal (programming language),1970
Perl,Could not determine :(
Perl 6,Could not determine :(
Pizza (programming language),Could not determine :(
PostScript,1982
Prolog,1972
Python (programming language),Could not determine :(
QBasic,1991
REBOL,1997
REXX,1979
R (programming language),Could not determine :(
Racket (programming language),1994
Rc,1989
Ruby (programming language),1995
Rust (programming language),2010
SASL (programming language),1972
SETL,1969
SISAL,1983
SNOBOL,1962
SP/k,1974
SQL,1974
Sather,1990
Scala (programming language),Could not determine :(
Scheme (programming language),1970
Scratch (programming language),2002
Sed,1974
Self (programming language),1987
Simula,1965
Smalltalk,1972
Snap! (programming language),2011
Speedcoding,1953
Squeak,1996
Squirrel (programming language),2003
Standard ML,Could not determine :(
Starlogo,Could not determine :(
TELCOMP,Could not determine :(
TUTOR (programming language),Could not determine :(
T (programming language),1980
Tcl,1988
TypeScript,Could not determine :(
Verilog,Could not determine :(
Visual Basic,1991
Visual Basic .NET,2001
Visual Fortran,1957
Wolfram Language,1988
XPath,1999
ZPL (programming language),Could not determine :(
